year,week_of_year,s2_snow_above_1200_smoothed_zscore,s2_snow_1200_1800_smoothed_zscore,s2_snow_above_1800_smoothed_zscore,modis_snow_above_1200_smoothed_zscore,modis_snow_1200_1800_smoothed_zscore,modis_snow_above_1800_smoothed_zscore,temp_1200_smoothed_zscore,temp_1200_1800_smoothed_zscore,temp_1800_smoothed_zscore,precip_1200_smoothed_zscore,precip_1200_1800_smoothed_zscore,precip_1800_smoothed_zscore
2018,32,-0.485215972,-0.348455749,-0.56845063,-0.316612423,-0.379117441,-0.665794697,1.192071229,1.15175411,1.177681765,-0.686805025,-0.713686841,-0.749724687
2018,33,-0.485215972,-0.348455749,-0.56845063,-0.316612423,-0.379117441,-0.665794697,1.181367647,1.203704369,1.242975692,-0.684537866,-0.704458944,-0.743753794
2018,34,-0.485215972,-0.348455749,-0.56845063,-0.316612423,-0.379117441,-0.665794697,1.186548936,1.235310161,1.308260073,-0.645873487,-0.678899305,-0.714502457
2018,35,-0.485215972,-0.348455749,-0.56845063,-0.316612423,-0.379117441,-0.665794697,1.231812284,1.212454593,1.236961299,-0.660954973,-0.700899476,-0.741914562
2018,36,-0.482497708,-0.343292773,-0.56845063,-0.274087027,-0.378753179,-0.665794697,0.935735199,0.877532513,0.862589591,-0.497708051,-0.502783233,-0.465978015
2018,37,-0.485215972,-0.348455749,-0.56845063,-0.316612423,-0.379017369,-0.665784427,0.940183886,0.915233099,0.902789484,-0.617934643,-0.619980239,-0.63213021
2018,38,-0.485215972,-0.348455749,-0.56845063,-0.316612423,-0.379117441,-0.665794697,0.993385542,0.984833159,0.960132746,-0.676973417,-0.688405473,-0.722603707
2018,39,-0.485215972,-0.348455749,-0.56845063,-0.312352663,-0.379117441,-0.665794697,1.05415852,0.969477235,0.883737881,-0.51652808,-0.41121542,-0.236487911
2018,40,0.704092386,0.550054789,0.780823437,-0.273894496,-0.364078628,-0.662802726,0.548589398,0.481333562,0.42127636,0.05448718,0.039063138,0.197187631
2018,41,-0.481743146,-0.348455749,-0.561908511,-0.3014626,-0.379117441,-0.66571596,0.483994345,0.430402686,0.359173513,-0.16531248,-0.11614703,0.00738292
2018,42,-0.485215972,-0.348455749,-0.56845063,-0.254087818,-0.370054925,-0.665216158,0.240493661,0.113439272,0.052302499,2.028246613,2.42548218,2.850955195
2018,43,-0.443781341,-0.348455749,-0.490395945,-0.316612423,-0.379117441,-0.618974119,-0.244139575,-0.28198213,-0.224993431,-0.673769118,-0.682147673,-0.718975588
2018,44,-0.48079716,-0.345221414,-0.563334294,-0.309753488,-0.367761276,-0.663121093,-0.446700262,-0.547953724,-0.586395438,-0.062938663,0.310419753,0.300110555
2018,45,-0.364980496,-0.208176595,-0.481080458,0.270789155,-0.233348637,-0.386668468,-0.607778629,-0.68968173,-0.725339613,0.889185168,1.149925364,1.63302043
2018,46,0.005365892,-0.151663633,0.16052927,-0.265952571,-0.375130574,-0.384556287,-0.496987569,-0.554307783,-0.562214991,-0.195745591,-0.335287743,-0.281467489
2018,47,-0.098715722,-0.049289459,-0.13707537,-0.122757267,-0.370767437,-0.406256634,-0.604879404,-0.64400734,-0.642956581,0.219525637,0.012906585,0.202340046
2018,48,-0.485215972,-0.348455749,-0.56845063,0.249791188,-0.291722606,-0.506696478,-0.848722186,-0.899850662,-0.886526136,1.335951387,0.67867782,0.73054102
2018,49,0.121883595,0.31515013,-0.082963278,0.0803755,-0.359107054,0.091790113,-0.963733472,-0.984167637,-0.947883717,1.613220683,1.365999998,0.954915112
2018,50,-0.158632815,-0.348134532,0.046449131,0.380869041,-0.282431926,0.300916548,-1.006065018,-1.024482866,-0.99466782,0.990105991,0.671523898,0.712829232
2018,51,0.495511199,-0.331188962,1.261920891,-0.096500784,-0.308258495,0.380963749,-1.188853349,-1.197842985,-1.15605409,1.612224593,1.50645794,1.344192306
2018,52,1.66816254,1.023961926,2.126917525,0.125728702,0.805746445,2.416705478,-1.331561487,-1.350398465,-1.342669398,0.809867709,0.642089221,0.5862336
2019,1,3.398643645,3.994927821,2.440179651,2.786309488,3.240076664,2.264381985,-1.704067869,-1.782939393,-1.743249652,4.895971163,5.283016414,4.777906618
2019,2,3.126516653,3.06671577,2.848152791,5.379095119,5.706217754,2.434886665,-1.613742096,-1.712166263,-1.666198343,1.226018307,0.971355812,0.743811879
2019,3,4.673369824,5.603346889,3.246272134,2.631670592,4.987941332,2.410519562,-1.420764843,-1.498720728,-1.474386236,-0.668681977,-0.666329203,-0.684696021
2019,4,2.591249364,2.439711014,2.46168207,-0.169710887,2.751605466,2.164174926,-1.224611453,-1.265277277,-1.264577468,-0.232110662,-0.29101777,-0.380075725
2019,5,2.001346378,1.400817412,2.380802512,-0.26123555,1.460160952,1.901364182,-1.074459915,-1.096857615,-1.033265686,0.76563598,0.966747743,1.147473793
2019,6,1.317798683,0.867490372,1.622090537,-0.044962507,1.033033859,2.032124261,-1.401862207,-1.400513395,-1.379768975,1.386260246,1.036356644,1.090482457
2019,7,1.891961845,0.833377107,2.737534613,-0.054913979,1.042969002,1.979709998,-1.459662032,-1.443733971,-1.448401869,0.451822677,0.253156921,0.409570641
2019,8,1.704854368,0.686522446,2.530712391,0.19420975,1.314444185,1.874754812,-1.291754332,-1.334955233,-1.354832747,3.683974124,3.362234381,3.126295839
2019,9,0.653039017,0.449764217,0.784117792,-0.235087365,0.842320741,2.129965814,-1.299707117,-1.311834608,-1.313409396,0.297855101,0.277226461,0.184669652
2019,10,1.54983868,0.483734034,2.439820243,-0.129531969,0.433927117,1.94362149,-1.015703984,-0.946688589,-0.892823215,-0.011524863,-0.077938528,-0.169195167
2019,11,0.88314592,0.18159582,1.48356505,-0.207362829,0.240051725,1.678181645,-0.868053192,-0.856239752,-0.879381518,0.680514775,0.64071845,0.774283074
2019,12,-0.485215972,-0.348455749,-0.56845063,-0.260176626,-0.296121769,0.362560048,-0.959435269,-0.981787581,-1.002872345,0.317238156,0.636528912,0.684074524
2019,13,-0.478006367,-0.348455749,-0.554869153,-0.250345487,-0.194340591,1.079808024,-1.023390626,-1.010656972,-1.014364615,2.570108828,2.700775374,3.010586773
